Name,Description,Ocupation Wikidata Ids
JAMES CHANEY,American activist,
ALLEN ST. PIERRE,American activist,
STEPHEN LERNER,American activist,
ELIZABETH PACKARD,American activist,
ED ROSENTHAL,American activist and writer,horticulturist|
JUDITH LEVINE,American activist and writer,"journalist|""writer""|"
JIMMY SMITS,American actor,actor|
RAY LIOTTA,American actor,actor|
STEVE CARELL,American actor,actor|
JOSH HOLLOWAY,American actor,actor|
SWOOSIE KURTZ,American actor,actor|
BILLY CRUDUP,American actor,actor|
SCOTT CAAN,American actor,actor|
JACKIE EARLE HALEY,American actor,actor|
COLIN HANKS,American actor,actor|
PAUL DANO,American actor,actor|
FREDDY RODRIGUEZ,American actor,actor|
STEPHANIE MARCH,American actor,actor|
NEIL FLYNN,American actor,actor|
SKEET ULRICH,American actor,actor|
RON LIVINGSTON,American actor,actor|
RUSSELL HORNSBY,American actor,actor|
JACK MCBRAYER,American actor,actor|
JONATHAN TUCKER,American actor,actor|
DEREK LUKE,American actor,actor|
COURTNEY B. VANCE,American actor,actor|
JONATHAN SILVERMAN,American actor,actor|
HARDY RAWLS,American actor,actor|
JAMES CARPINELLO,American actor,actor|
CHARLES SIEBERT,American actor,actor|
CARMEN OSBAHR,American actor,actor|
CLEA LEWIS,American actor,actor|
PATRICIA KNIGHT,American actor,actor|
RACHEL REENSTRA,American actor,actor|
REBECCA BROUSSARD,American actor,actor|
ROBERT MAILHOUSE,American actor,actor|
STEPHEN KUNKEN,American actor,actor|
T. RYDER SMITH,American actor,actor|
TIMMY WILLIAMS,American actor,actor|
VALENTE RODRIGUEZ,American actor,actor|
DAVID WILEY,American actor,actor|
DAVID GREENSPAN,American actor,actor|
ELI GOODMAN,American actor,actor|
JENNIFER EHLE,American actor,actor|
BRIAN DENNEHY,American actor,actor|
SAM ROCKWELL,American actor,actor|
AIDAN QUINN,American actor,actor|
JEREMY SISTO,American actor,actor|
ERIC CHRISTIAN OLSEN,American actor,actor|
MARLA MAPLES,American actor,actor|
JOHN FUGELSANG,American actor,actor|
NIECY NASH,American actor,actor|
AFFION CROCKETT,American actor,actor|
EMILY RUTHERFURD,American actor,actor|
DEREK MAGYAR,American actor,actor|
DINAH LENNEY,American actor,actor|
JAMES URBANIAK,American actor,actor|
JEFFERSON MAYS,American actor,actor|
KEVIN RUF,American actor,actor|
REGAN BURNS,American actor,actor|
RICHARD H. BLAKE,American actor,actor|
JENNIFER MUDGE,American actor,actor|
MICHAEL MCCARTY,American actor,actor|
HUMPHREY BOGART,American actor,actor|
JOSH LUCAS,American actor,actor|
SPENCER TRACY,American actor,actor|
RICHARD DREYFUSS,American actor,actor|
MICHAEL EMERSON,American actor,actor|
DAVID STRATHAIRN,American actor,actor|
JASON BUTLER HARNER,American actor,actor|
YOLANDA KING,American actor,actor|
BLAIR UNDERWOOD,American actor,actor|
JUDITH IVEY,American actor,actor|
HARRY LENNIX,American actor,actor|
ERIK ESTRADA,American actor,actor|
GREG GERMANN,American actor,actor|
STROTHER MARTIN,American actor,actor|
PETER CAMBOR,American actor,actor|
LOUIS NYE,American actor,actor|
LORRAINE NICHOLSON,American actor,actor|
NICK SPANO,American actor,actor|
ALICIA LEIGH WILLIS,American actor,actor|
SALLY WHEELER,American actor,actor|
TANNA FREDERICK,American actor,actor|
ERINN HAYES,American actor,actor|
MICHAEL CARBONARO,American actor,actor|
GEORGE BARROWS,American actor,actor|
HEATHER GOLDENHERSH,American actor,actor|
MAX CRUMM,American actor,actor|
PAUL SPARKS,American actor,actor|
SAM LEVINSON,American actor,actor|
AMIR ARISON,American actor,actor|
GARY LUNDY,american actor,actor|
DAVID CLENNON,American actor,actor|
JOHNATHON SCHAECH,American actor,actor|
PETER DINKLAGE,American actor,actor|
SUNG KANG,American actor,actor|
FRED MACMURRAY,American actor,actor|
KYLE CHANDLER,American actor,actor|
JUSTIN KIRK,American actor,actor|
MATT LONG,American actor,actor|
JERRY FERRARA,American actor,actor|
TAYLOR HANDLEY,American actor,actor|
LIAM WAITE,American actor,actor|
LOU CUTELL,American actor,actor|
RICK HOFFMAN,American actor,actor|
ANDREA ROSEN,American actor,actor|
CHARLES GRODIN,American actor,"actor|""author""|"
KURT RUSSELL,American actor,"actor|""baseball player""|""voice actor""|"
MAX THIERIOT,American actor,"actor|""child actor""|"
JAMES RADO,American actor,"actor|""composer""|""author""|"
KAREN ZIEMBA,American actor,"actor|""dancer""|"
PHYLLIS SMITH,American actor,"actor|""dancer""|"
BEN GAZZARA,American actor,"actor|""director""|"
JERRY MATHERS,American actor,"actor|""entrepreneur""|"
HARVEY KEITEL,American actor,"actor|""film actor""|"
ADRIEN BRODY,American actor,"actor|""film actor""|"
JAKE GYLLENHAAL,American actor,"actor|""film actor""|"
DUSTIN HOFFMAN,American actor,"actor|""film actor""|""film director""|""voice actor""|"
JACK KLUGMAN,American actor,"actor|""film actor""|""screenwriter""|"
KEITH CARRADINE,American actor,"actor|""film actor""|""singer""|"
KIRSTEN DUNST,American actor,"actor|""film actor""|""voice actor""|"
WILLEM DAFOE,American actor,"actor|""film actor""|""voice actor""|"
JASON SCOTT LEE,American actor,"actor|""film actor""|""voice actor""|"
PETER FONDA,American actor,"actor|""film director""|"
DERMOT MULRONEY,American actor,"actor|""film director""|"
CHRIS EIGEMAN,American actor,"actor|""film director""|""film producer""|"
GARY SINISE,American actor,"actor|""film director""|""musician""|"
FISHER STEVENS,American actor,"actor|""film director""|""writer""|"
ADAM BRODY,American actor,"actor|""film producer""|"
AARON ECKHART,American actor,"actor|""film producer""|"
JOSH BROLIN,American actor,"actor|""film producer""|"
JON HEDER,American actor,"actor|""film producer""|"
FOREST WHITAKER,American actor,"actor|""film producer""|""film actor""|""television director""|""film director""|"
RYAN PHILLIPPE,American actor,"actor|""film producer""|""film director""|"
JONAH HILL,American actor,"actor|""film producer""|""voice actor""|""screenwriter""|""writer""|"
JOUMANA KIDD,American actor,"actor|""journalist""|"
LANCE GROSS,American actor,"actor|""model""|"
NADINE VELAZQUEZ,American actor,"actor|""model""|"
PATRICIA WETTIG,American actor,"actor|""playwright""|"
JOHN TARTAGLIA,American actor,"actor|""puppeteer""|""singer""|"
JONATHAN PRINCE,American actor,"actor|""screenwriter""|"
CHERI OTERI,American actor,"actor|""screenwriter""|"
DOMINIC SCOTT KAY,American actor,"actor|""screenwriter""|"
HENRIETTE MANTEL,American actor,"actor|""screenwriter""|"
LIEV SCHREIBER,American actor,"actor|""screenwriter""|""film producer""|""film director""|""voice actor""|""writer""|"
TAMALA JONES,American actor,"actor|""singer""|"
MARK JACOBY,American actor,"actor|""singer""|"
MONIQUE COLEMAN,American actor,"actor|""singer""|"
TERRENCE HOWARD,American actor,"actor|""singer""|"
IRENE MOLLOY,American actor,"actor|""singer""|"
MICHAEL CERVERIS,American actor,"actor|""singer""|"
KAREN AKERS,American actor,"actor|""singer""|"
BRIAN STOKES MITCHELL,American actor,"actor|""singer""|""composer""|"
ZAC EFRON,American actor,"actor|""singer""|""voice actor""|""disc jockey""|"
BERNIE MAC,American actor,"actor|""street artist""|"
IAN ZIERING,American actor,"actor|""television actor""|"
SCOTT BAKULA,American actor,"actor|""television actor""|"
STEVE HARVEY,American actor,"actor|""television actor""|"
ELIJAH WOOD,American actor,"actor|""television actor""|""film actor""|"
TAYE DIGGS,American actor,"actor|""television actor""|""film actor""|"
PHILIP BOSCO,American actor,"actor|""television actor""|""film actor""|"
F. MURRAY ABRAHAM,American actor,"actor|""television actor""|""film actor""|"
GREG KINNEAR,American actor,"actor|""television actor""|""film actor""|"
PAUL ADELSTEIN,American actor,"actor|""television actor""|""film actor""|"
DAVID CONRAD,American actor,"actor|""television actor""|""film actor""|"
DANNY TREJO,American actor,"actor|""television actor""|""film actor""|"
JAMES CROMWELL,American actor,"actor|""television actor""|""film actor""|"
PETER FALK,American actor,"actor|""television actor""|""film actor""|""autobiographer""|"
BILLY CRYSTAL,American actor,"actor|""television actor""|""film actor""|""film director""|""baseball player""|""voice actor""|""writer""|"
PATRICK DEMPSEY,American actor,"actor|""television actor""|""film producer""|""film director""|""racing driver""|""voice actor""|"
RANDY QUAID,American actor,"actor|""voice actor""|"
PATRICK WARBURTON,American actor,"actor|""voice actor""|"
ANDY RICHTER,American actor,"actor|""voice actor""|"
CHARLES KIMBROUGH,American actor,"actor|""voice actor""|"
FRANK LANGELLA,American actor,"actor|""voice actor""|"
MICHAEL ROSENBAUM,American actor,"actor|""voice actor""|""film director""|""film producer""|""writer""|"
WILLIAM HURT,American actor,"film actor|""actor""|"
RICHARD WIDMARK,American actor,"film actor|""actor""|"
PAUL GIAMATTI,American actor,"film actor|""actor""|"
MATTHEW MCCONAUGHEY,American actor,"film actor|""actor""|"
MARK RUFFALO,American actor,"film actor|""actor""|""film director""|""film producer""|""screenwriter""|""writer""|"
JACK LEMMON,American actor,"film actor|""actor""|""film director""|""officer""|"
CHRISTOPHER WALKEN,American actor,"film actor|""actor""|""film director""|""screenwriter""|"
KEVIN KLINE,American actor,"film actor|""actor""|""film director""|""voice actor""|"
VINCE VAUGHN,American actor,"film actor|""actor""|""film producer""|""screenwriter""|"
GARRETT HEDLUND,American actor,"film actor|""actor""|""singer""|""model""|"
MICHAEL KEATON,American actor,"film actor|""actor""|""singer""|""voice actor""|""film director""|"
TOM HANKS,American actor,"film actor|""film director""|""actor""|""film producer""|""writer""|""voice actor""|""screenwriter""|""composer""|"
JERRY ZAKS,American actor,film director|
MELVIN VAN PEEBLES,American actor,"film director|""novelist""|"
VINCENT PASTORE,American actor,"film producer|""television actor""|""film actor""|""actor""|"
WENDELL PIERCE,American actor,"film producer|""television actor""|""film actor""|""actor""|"
MARK BLUM,American actor,"film producer|""television actor""|""film actor""|""actor""|"
MICKEY RAPHAEL,American actor,"musician|""actor""|"
ZACH CREGGER,American actor,"screenwriter|""actor""|""film director""|"
MIKE BINDER,American actor,"screenwriter|""actor""|""film director""|""film producer""|"
HERBERT FIELDS,American actor,"screenwriter|""author""|"
TODD FIELD,American actor,"screenwriter|""film director""|""actor""|""film producer""|"
JOSH PAIS,American actor,"screenwriter|""television actor""|""film actor""|""film director""|""actor""|"
ADRIENNE SHELLY,American actor,"screenwriter|""television actor""|""film actor""|""film director""|""actor""|""writer""|"
DONNIE WAHLBERG,American actor,"singer|""actor""|""musician""|"
SHAYNA STEELE,American actor,songwriter|
DAVID HYDE PIERCE,American actor,"television actor|""actor""|"
SHARON GLESS,American actor,"television actor|""actor""|"
ELLIOTT GOULD,American actor,"television actor|""actor""|""film actor""|"
JEFF GOLDBLUM,American actor,"television actor|""actor""|""film actor""|""film director""|""voice actor""|"
ROBERT BELTRAN,American actor,"television actor|""actor""|""voice actor""|"
T. R. KNIGHT,American actor,"television actor|""film actor""|""actor""|"
LINDA EMOND,American actor,"television actor|""film actor""|""actor""|"
STACY KEACH,American actor,"television actor|""film actor""|""actor""|"
VICTOR SLEZAK,American actor,"television actor|""film actor""|""actor""|"
KEVIN DANIELS,American actor,"television actor|""film actor""|""actor""|"
CAROLYN MCCORMICK,American actor,"television actor|""film actor""|""actor""|"
ROCK HUDSON,American actor,"television actor|""film actor""|""actor""|"
CHRISTOPHER MCDONALD,American actor,"television actor|""film actor""|""actor""|"
DAVID MARGULIES,American actor,"television actor|""film actor""|""actor""|"
TOM POSTON,American actor,"television actor|""film actor""|""actor""|"
CHRISTIAN SLATER,American actor,"television actor|""film actor""|""actor""|"
MATTHEW SETTLE,American actor,"television actor|""film actor""|""actor""|"
ROBERT LUPONE,American actor,"television actor|""film actor""|""actor""|"
KATHLEEN CHALFANT,American actor,"television actor|""film actor""|""actor""|"
LARRY PINE,American actor,"television actor|""film actor""|""actor""|"
PABLO SCHREIBER,American actor,"television actor|""film actor""|""actor""|"
MOLLY SHANNON,American actor,"television actor|""film actor""|""actor""|"
BRIAN VAN HOLT,American actor,"television actor|""film actor""|""actor""|"
ORLANDO JONES,American actor,"television actor|""film actor""|""actor""|"
DAVID PITTU,American actor,"television actor|""film actor""|""actor""|"
CHARLTON HESTON,American actor,"television actor|""film actor""|""actor""|""film director""|""author""|""voice actor""|""writer""|""autobiographer""|"
SHAWN ELLIOTT,American actor,"television actor|""film actor""|""actor""|""musician""|"
HENRY FONDA,American actor,"television actor|""film actor""|""actor""|""officer""|""beekeeper""|""soldier""|"
BRADLEY WHITFORD,American actor,"television actor|""film actor""|""actor""|""screenwriter""|"
JOHN C. REILLY,American actor,"television actor|""film actor""|""actor""|""singer""|""film producer""|""voice actor""|""screenwriter""|"
BOYD GAINES,American actor,"television actor|""film actor""|""actor""|""voice actor""|"
GEORGE PEPPARD,American actor,"television actor|""film actor""|""film director""|""actor""|"
MATT MAIELLARO,American actor,"writer|""voice actor""|""musician""|"
GARRETT ZUERCHER,American actor,
STEVE KAZEE,American actor,
T. J. JAGODOWSKI,American actor,
MARC KUDISCH,American actor,
LARRY WILMORE,American actor,
JEREMY SHAMOS,American actor,
JEFFREY COMBS,American actor (born 1954),"film actor|""television actor""|""actor""|"
HAL RINEY,American actor and businessman,film producer|
CATHY LADMAN,American actor and comedian,actor|
DARRELL HAMMOND,American actor and comedian,actor|
RODNEY DANGERFIELD,American actor and comedian,actor|
KIM COLES,American actor and comedian,actor|
DENIS LEARY,American actor and comedian,"actor|""composer""|"
DANE COOK,American actor and comedian,"actor|""voice actor""|"
STEVEN MCELROY,American actor and director,actor|
ROSCOE LEE BROWNE,American actor and director,actor|
JOE MANTELLO,American actor and director,actor|
MARTIN LAWRENCE,American actor and director,"actor|""film director""|""film producer""|""voice actor""|""screenwriter""|"
JAKE KASDAN,American actor and director,"actor|""film director""|""screenwriter""|""film producer""|"
